"Name","Width","Height"
"Image128.png","128","128"
"LargeTile.scale-100.png","310","310"
"LargeTile.scale-125.png","388","388"
"LargeTile.scale-150.png","465","465"
"LargeTile.scale-200.png","620","620"
"LargeTile.scale-400.png","1240","1240"
"LockScreenLogo.scale-200.png","48","48"
"SmallTile.scale-100.png","71","71"
"SmallTile.scale-125.png","89","89"
"SmallTile.scale-150.png","107","107"
"SmallTile.scale-200.png","142","142"
"SmallTile.scale-400.png","284","284"
"SplashScreen.scale-100.png","620","300"
"SplashScreen.scale-125.png","775","375"
"SplashScreen.scale-150.png","930","450"
"SplashScreen.scale-200.png","1240","600"
"SplashScreen.scale-400.png","2480","1200"
"Square150x150Logo.scale-100.png","150","150"
"Square150x150Logo.scale-125.png","188","188"
"Square150x150Logo.scale-150.png","225","225"
"Square150x150Logo.scale-200.png","300","300"
"Square150x150Logo.scale-400.png","600","600"
"Square44x44Logo.altform-lightunplated_targetsize-16.png","16","16"
"Square44x44Logo.altform-lightunplated_targetsize-24.png","24","24"
"Square44x44Logo.altform-lightunplated_targetsize-256.png","256","256"
"Square44x44Logo.altform-lightunplated_targetsize-32.png","32","32"
"Square44x44Logo.altform-lightunplated_targetsize-48.png","48","48"
"Square44x44Logo.altform-unplated_targetsize-16.png","16","16"
"Square44x44Logo.altform-unplated_targetsize-24.png","24","24"
"Square44x44Logo.altform-unplated_targetsize-256.png","256","256"
"Square44x44Logo.altform-unplated_targetsize-32.png","32","32"
"Square44x44Logo.altform-unplated_targetsize-48.png","48","48"
"Square44x44Logo.scale-100.png","44","44"
"Square44x44Logo.scale-125.png","55","55"
"Square44x44Logo.scale-150.png","66","66"
"Square44x44Logo.scale-200.png","88","88"
"Square44x44Logo.scale-400.png","176","176"
"Square44x44Logo.targetsize-16.png","16","16"
"Square44x44Logo.targetsize-24_altform-unplated.png","24","24"
"Square44x44Logo.targetsize-24.png","24","24"
"Square44x44Logo.targetsize-256.png","256","256"
"Square44x44Logo.targetsize-32.png","32","32"
"Square44x44Logo.targetsize-48.png","48","48"
"StoreLogo.backup.png","50","50"
"StoreLogo.scale-100.png","50","50"
"StoreLogo.scale-125.png","63","63"
"StoreLogo.scale-150.png","75","75"
"StoreLogo.scale-200.png","100","100"
"StoreLogo.scale-400.png","200","200"
"Wide310x150Logo.scale-100.png","310","150"
"Wide310x150Logo.scale-125.png","388","188"
"Wide310x150Logo.scale-150.png","465","225"
"Wide310x150Logo.scale-200.png","620","300"
"Wide310x150Logo.scale-400.png","1240","600"
